neighbourhood_name,diam_min,diam_max,diam_mean,diam_sd,diam_median
ARBUTUS-RIDGE,1.25,40,6.77520273154076,4.33369660342224,5.5
DOWNTOWN,1.5,86,5.41904047976012,3.4833701036296114,4.25
DUNBAR-SOUTHLANDS,2,305,5.436360920227069,6.59402419418697,3.25
FAIRVIEW,2,35,5.697574334898278,3.6678317045673072,4
GRANDVIEW-WOODLAND,1,63,6.250434126085315,4.134342254388001,5
HASTINGS-SUNRISE,1,435,7.345598584993484,7.4731784929715,6
KENSINGTON-CEDAR COTTAGE,0.5,97.5,6.568190657769304,4.813284885609281,5
KERRISDALE,1,85,5.995238095238095,4.56789558226472,4.5
KILLARNEY,0.5,48,5.969386281588448,4.554706478791995,4
KITSILANO,1,317,5.853087578194817,8.025414001741279,4
MARPOLE,1.5,86,5.81966618287373,4.374200433771316,4
MOUNT PLEASANT,2,56,6.716990476190476,4.7559342834848914,5
OAKRIDGE,0.5,41,6.0909268929503915,3.9969717599957786,5
RENFREW-COLLINGWOOD,0.5,99,5.791311872620284,4.306403640756469,4
RILEY PARK,0.5,43,5.621344140493076,3.9473567554552402,4
SHAUGHNESSY,2,64,5.05283956043956,4.385879650225471,3
SOUTH CAMBIE,1,45,6.364260249554367,4.231229638447466,5
STRATHCONA,1,24,5.291602451838879,3.2510402255608652,4
SUNSET,0.5,95,5.900455904334828,4.288478995763902,4.5
VICTORIA-FRASERVIEW,0.25,144,5.480419977298524,4.400539892122455,4
WEST END,2,41,6.75271629778672,4.545442774483992,5.25
WEST POINT GREY,2,54.5,6.090016322089228,4.370800841920556,4.5
